facultyName;universityName;facultyCity;availablePlaces;lastEntranceGrade;candidatesPerPlace;annualTax;facultyProgram;facultyType;authorization;specialization;domainOfLicenseOrMaster;facultyDomain;admissionType;budgetPlaces;taxPlaces
Facultatea de Științe Economice și Administrative;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;10;N/A;N/A;N/A;Administraţie publică;Public;Acreditat;Administraţie publică;Ştiinţe administrative;Științe Politice și Comunicare;Examen;10;0
Facultatea de Științe Economice și Administrative;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;20;N/A;N/A;N/A;Contabilitate şi informatică de gestiune;Public;Acreditat;Contabilitate şi informatică de gestiune;Contabilitate;Științe Economice;Examen;20;0
Facultatea de Științe Militare;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;80;N/A;N/A;N/A;Leadership militar;Public;Autorizat;Leadership militar;Ştiinţe militare, informaţii și ordine publică;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;80;0
Facultatea de Științe Economice și Administrative;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;25;N/A;N/A;N/A;Management economico-financiar;Public;Acreditat;Management;Management;Științe Economice;Examen;25;0
Facultatea de Management Militar;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;N/A;N/A;N/A;N/A;Managementul sistemelor de comunicații militare;Public;Autorizat;Managementul sistemelor de comunicații militare;Ştiinţe militare, informaţii și ordine publică;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;0;0
Facultatea de Management Militar;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;60;N/A;N/A;N/A;Inginerie și management în domeniul comunicaţiilor militare;Public;Acreditat;Inginerie şi management naval şi portuar;Inginerie și management;Științe Inginerești;Examen;60;0
Facultatea de Management Militar;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;105;N/A;N/A;N/A;Managementul organizaţiei;Public;Acreditat;Management;Management;Științe Economice;Examen;105;0
Facultatea de Management Aeronautic;Academia Forțelor Aeriene "Henri Coandă";Brasov, Brasov;63;7.74;N/A;N/A;Managementul traficului aerian;Public;Acreditat;Managementul traficului aerian;Ştiinţe militare, informaţii și ordine publică;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;63;0
Facultatea de Management Aeronautic;Academia Forțelor Aeriene "Henri Coandă";Brasov, Brasov;60;N/A;N/A;N/A;Management în aviaţie;Public;Acreditat;Management în aviaţie;Ştiinţe militare, informaţii și ordine publică;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;50;10
Facultatea de Management Aeronautic;Academia Forțelor Aeriene "Henri Coandă";Brasov, Brasov;50;6.15;N/A;N/A;Managementul sistemelor de rachete şi artilerie antiaeriene;Public;Autorizat;Managementul sistemelor de rachete şi artilerie antiaeriene;Ştiinţe militare, informaţii și ordine publică;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;50;0
