facultyName;universityName;facultyCity;availablePlaces;lastEntranceGrade;candidatesPerPlace;annualTax;facultyProgram;facultyType;authorization;specialization;domainOfLicenseOrMaster;facultyDomain;admissionType;budgetPlaces;taxPlaces
Facultatea de Management Militar;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;50;N/A;N/A;2.200 lei;Management şi tehnologie;Public;Acreditat;Managementul sistemelor de comunicații militare;Ştiinţe militare;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;5;45
Facultatea de Științe Militare;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;50;N/A;N/A;2.200 lei;Intelligence în organizaţii;Public;Acreditat;Managementul organizaţiei;Ştiinţe militare;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;5;45
Facultatea de Management Militar;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;50;N/A;N/A;2.200 lei;Managementul capabilităţilor organizaţionale;Public;Acreditat;Managementul organizaţiei;Ştiinţe militare;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;5;45
Facultatea de Științe Militare;Academia Forţelor Terestre "Nicolae Bălcescu" din Sibiu;Sibiu, Sibiu;60;N/A;N/A;2.200 lei;Leadership organizaţional;Public;Acreditat;Managementul organizaţiei;Ştiinţe militare;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;5;55
Facultatea de Management Aeronautic;Academia Forțelor Aeriene "Henri Coandă";Brasov, Brasov;50;N/A;N/A;N/A;Managementul sistemelor de luptă din forţele aeriene;Public;Acreditat;Managementul sistemelor de rachete şi artilerie antiaeriene;Ştiinţe militare;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;5;45
Facultatea de Management Aeronautic;Academia Forțelor Aeriene "Henri Coandă";Brasov, Brasov;50;N/A;N/A;N/A;Securitatea spaţiului aerian;Public;Acreditat;Management în aviaţie;Ştiinţe militare;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;5;45
Facultatea de Navigație și Management Naval;Academia Navală "Mircea Cel Bătrân";Constanta, Constanta;50;N/A;N/A;N/A;Inginerie şi management naval şi portuar;Public;Acreditat;Inginerie şi management naval şi portuar;Inginerie și management;Științe Inginerești;Dosar;0;50
Facultatea de Navigație și Management Naval;Academia Navală "Mircea Cel Bătrân";Constanta, Constanta;50;N/A;N/A;N/A;Managementul sistemelor logistice;Public;Acreditat;Inginerie economică în domeniul transporturilor;Inginerie și management;Științe Inginerești;Dosar;0;50
Facultatea de Inginerie Marină;Academia Navală "Mircea Cel Bătrân";Constanta, Constanta;50;N/A;N/A;N/A;Sisteme electromecanice navale;Public;Acreditat;Electromecanică navală;Inginerie marină şi navigaţie;Științe Inginerești;Dosar;0;50
Facultatea de Navigație și Management Naval;Academia Navală "Mircea Cel Bătrân";Constanta, Constanta;50;N/A;N/A;N/A;Ştiinţe nautice;Public;Acreditat;Navigaţie şi transport maritim şi fluvial;Inginerie marină şi navigaţie;Științe Inginerești;Dosar;0;50
Facultatea de Informaţii;Academia Naţională de Informaţii "Mihai Viteazul" din Bucureşti;Bucuresti, Bucuresti;70;N/A;N/A;7.000 lei;Intelligence şi securitate naţională;Public;Acreditat;Studii de securitate și informații;Informații și securitate națională;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;0;70
Facultatea de Informaţii;Academia Naţională de Informaţii "Mihai Viteazul" din Bucureşti;Bucuresti, Bucuresti;50;N/A;N/A;7.000 lei;Relații internaționale și studii de intelligence;Public;Acreditat;Studii de securitate și informații;Informații și securitate națională;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;0;50
Facultatea de Informaţii;Academia Naţională de Informaţii "Mihai Viteazul" din Bucureşti;Bucuresti, Bucuresti;50;N/A;N/A;4.800 lei;Managementul informaţiilor de securitate naţională;Public;Acreditat;Studii de securitate și informații;Informații și securitate națională;Ştiinţe Militare, Informaţii şi Ordine publică;Examen;20;30
